date,year,month,day,station_id,station,station_name,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
2013-06-13,2013,6,13,S06,S06,Paya Lebar Meteorological Station,0.0,,34.6,28.3,11.0,33.5
2013-06-14,2013,6,14,S06,S06,Paya Lebar Meteorological Station,0.0,,34.4,28.7,9.3,33.5
2013-06-15,2013,6,15,S06,S06,Paya Lebar Meteorological Station,0.0,,34.8,28.9,10.2,31.3
2013-06-16,2013,6,16,S06,S06,Paya Lebar Meteorological Station,4.8,,34.5,28.3,11.3,31.3
2013-06-17,2013,6,17,S06,S06,Paya Lebar Meteorological Station,0.0,,33.9,27.0,8.5,29.5
2013-06-18,2013,6,18,S06,S06,Paya Lebar Meteorological Station,0.0,,35.1,28.4,10.1,37.1
2013-06-19,2013,6,19,S06,S06,Paya Lebar Meteorological Station,0.0,,35.2,28.8,12.3,40.7
2013-06-20,2013,6,20,S06,S06,Paya Lebar Meteorological Station,0.0,,34.7,29.1,11.1,31.3
2013-06-21,2013,6,21,S06,S06,Paya Lebar Meteorological Station,0.0,,35.0,28.4,9.9,27.7
2013-06-22,2013,6,22,S06,S06,Paya Lebar Meteorological Station,0.0,,35.3,28.5,8.6,27.7
2013-06-23,2013,6,23,S06,S06,Paya Lebar Meteorological Station,0.0,,34.1,28.6,10.6,27.7
2013-06-24,2013,6,24,S06,S06,Paya Lebar Meteorological Station,0.0,,33.8,28.8,9.1,29.5
2013-06-25,2013,6,25,S06,S06,Paya Lebar Meteorological Station,16.7,,34.9,26.5,5.8,37.1
2013-06-26,2013,6,26,S06,S06,Paya Lebar Meteorological Station,3.8,,31.0,24.7,6.2,33.5
2013-06-27,2013,6,27,S06,S06,Paya Lebar Meteorological Station,0.0,,33.8,26.9,7.3,27.7
2013-06-28,2013,6,28,S06,S06,Paya Lebar Meteorological Station,13.8,,32.9,24.7,5.5,35.3
2013-06-29,2013,6,29,S06,S06,Paya Lebar Meteorological Station,0.3,,33.8,26.8,8.1,29.5
2013-06-30,2013,6,30,S06,S06,Paya Lebar Meteorological Station,1.7,,30.5,25.0,7.1,33.5
2013-07-01,2013,7,1,S06,S06,Paya Lebar Meteorological Station,0.0,,32.7,26.8,9.8,35.3
