planning_area,subzone,total,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_over,elderly_pop,elderly_pct
PASIR RIS,PASIR RIS CENTRAL,32240,1640,1730,1670,1860,2450,2680,2390,2510,2270,2280,2590,2890,2100,1340,830,450,310,180,90,3200,0.0993
PASIR RIS,PASIR RIS DRIVE,54420,1730,1990,2570,3380,4960,5870,3260,2650,2880,3460,4750,5660,4380,2930,1880,900,640,360,190,6900,0.1268
PASIR RIS,PASIR RIS PARK,7620,460,580,540,500,460,360,530,730,910,790,640,470,250,180,120,60,30,20,10,420,0.0551
PASIR RIS,PASIR RIS WAFER FAB PARK,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PASIR RIS,PASIR RIS WEST,35790,1260,1500,1960,2530,3420,3280,1880,2000,2350,2800,3590,3430,2280,1460,900,500,350,200,110,3520,0.0984
PAYA LEBAR,PAYA LEBAR EAST,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PAYA LEBAR,PAYA LEBAR NORTH,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PIONEER,BENOI SECTOR,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PIONEER,GUL BASIN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PIONEER,GUL CIRCLE,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PIONEER,JOO KOON,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PUNGGOL,MATILDA,52200,5430,4850,3150,2210,1860,2640,5470,7490,5120,3820,2550,2140,1730,1550,1120,540,320,150,80,3760,0.072
PUNGGOL,NORTHSHORE,460,20,20,20,30,40,40,40,10,30,40,40,30,40,20,20,10,10,10,0,70,0.1522
PUNGGOL,PUNGGOL FIELD,48960,2420,3360,3940,3390,2650,2470,2760,4020,5100,5150,3390,2930,2510,1920,1430,680,470,240,140,4880,0.0997
PUNGGOL,PUNGGOL TOWN CENTRE,22260,2820,2180,1140,810,640,1010,3030,3430,2130,1440,980,790,620,500,380,170,130,70,30,1280,0.0575
PUNGGOL,WATERWAY EAST,50580,5470,4930,3160,2140,1640,2160,5910,7240,5040,3590,2340,2000,1540,1390,1040,500,270,160,70,3430,0.0678
QUEENSTOWN,COMMONWEALTH,7000,140,200,260,280,300,400,420,420,460,570,570,610,570,460,440,320,300,200,100,1820,0.26
QUEENSTOWN,DOVER,11080,350,540,650,630,650,670,550,690,890,950,910,820,700,610,620,370,310,130,60,2100,0.1895
